"","gene_id","Teso_resistant","teso_susceptible","Teso_resistant.1","teso_susceptible.1"
"10820","AFUN019013",0,1,0,1
"10821","AFUN019014",14,14,14,14
"10822","AFUN019015",17,16,17,16
"10823","AFUN019016",146,89,146,89
"10824","AFUN019017",87,75,87,75
"10825","AFUN019018",68,35,68,35
"10826","AFUN019019",131,54,131,54
"10827","AFUN019020",0,0,0,0
"10828","AFUN019021",7,28,7,28
"10829","AFUN019022",318,532,318,532
"10830","AFUN019023",111,58,111,58
"10831","AFUN019024",67,25,67,25
"10832","AFUN019025",8,6,8,6
"10833","AFUN019026",21,24,21,24
"10834","AFUN019027",10,0,10,0
"10835","AFUN019028",13,9,13,9
"10836","AFUN019029",198,192,198,192
"10837","AFUN019030",0,3,0,3
"10838","AFUN019031",55,7,55,7
"10839","AFUN019032",20,9,20,9
"10840","AFUN019033",11,4,11,4
"10841","AFUN019034",0,3,0,3
"10842","AFUN019035",282,63,282,63
"10843","AFUN019036",219,556,219,556
"10844","AFUN019037",236,38,236,38
"10845","AFUN019038",2,6,2,6
"10846","AFUN019039",38,7,38,7
"10847","AFUN019040",0,0,0,0
"10848","AFUN019041",213,62,213,62
"10849","AFUN019042",4,9,4,9
"10850","AFUN019043",325,94,325,94
"10851","AFUN019044",16,9,16,9
"10852","AFUN019045",173,72,173,72
"10853","AFUN019046",17,55,17,55
"10854","AFUN019047",0,0,0,0
"10855","AFUN019048",0,0,0,0
"10856","AFUN019049",175,71,175,71
"10857","AFUN019050",0,0,0,0
"10858","AFUN019051",32,12,32,12
"10859","AFUN019052",25,7,25,7
"10860","AFUN019053",0,0,0,0
"10861","AFUN019054",2,0,2,0
"10862","AFUN019055",80,26,80,26
"10863","AFUN019056",78,15,78,15
"10864","AFUN019057",45,99,45,99
"10865","AFUN019058",1,14,1,14
"10866","AFUN019059",176,159,176,159
"10867","AFUN019060",90,519,90,519
"10868","AFUN019061",0,0,0,0
"10869","AFUN019062",0,9,0,9
"10870","AFUN019063",0,0,0,0
"10871","AFUN019064",13,158,13,158
