"","kombewa_05_susceptible","komb_06_susceptible","komb_04_susceptible","PortVict_susceptible","teso_susceptible","kombe_01_resistant","komb_02_resistant","Siaya_resistant","PortVict_resistant","Teso_resistant"
"AFUN002320",406.628974603523,278.227835579946,314.603975678931,402.313614391658,233.337910409073,474.089318650655,389.250177887374,492.536226483187,430.390488650948,372.257859061294
"AFUN002325",1496.30733588452,2045.51861242016,2094.40580991889,1813.27674634645,2592.92073705911,1542.72061671663,2242.30032050614,1799.9960276931,1548.77745186071,1211.53012312676
"AFUN002326",298.97049832209,424.336307895671,441.627177126762,358.758294315068,455.445654007013,261.752897430899,394.732574759028,351.641015028603,404.472813239486,397.07504966538
"AFUN002327",165.852247244371,146.108472315726,158.040494824627,154.736005535253,108.558279174274,177.590461383796,122.440196800254,96.1191908652038,95.8168606120725,92.5004377061396
"AFUN002328",6.54679923333043,10.8804181511711,5.90805588129448,1.14619263359447,18.7169446852197,3.86066220399556,10.9647937433063,4.77610886286727,0,1.12805411836756
"AFUN002329",528.835893625692,439.879762397344,417.994953601584,293.425314200184,404.286005200746,671.755223495227,515.345305935397,521.192879660391,814.443315202616,707.853959275641
"AFUN002330",944.193933873656,1080.27008786627,1313.0654196177,1157.65455993041,1063.12245812048,917.293339669345,1067.23992434848,1073.43046692942,1161.58308889553,798.66231580423
"AFUN002332",3625.47193099099,4802.92744101694,4804.72644546273,2259.14568081469,3946.77973595667,3714.72917268453,5168.07278434505,3052.53057698004,4793.98456701713,4194.66923914976
"AFUN002333",124.389185433278,97.9237633605395,101.91396395233,253.308572024377,104.81489023723,176.046196502197,151.679646782404,229.253225417629,153.935284262018,78.3997612265452
"AFUN002334",490.282520362746,641.944670919093,698.627607963072,168.490317138387,465.428024505797,279.511943569278,385.595246639606,343.879838126443,453.952011752278,253.248149573516
"AFUN002335",1038.75881168843,1391.13917789973,1496.21515193783,547.880078858155,993.245864628993,1148.16093946828,1622.78947400934,935.520323514126,1050.84393031929,1397.6590526574
"AFUN002337",63.2857259221942,104.141145161209,94.5288941007116,75.6487138172348,339.400596958651,111.959203915871,155.334578030173,311.641103302089,31.4153641351057,60.3508953326643
"AFUN002338",2332.84279347674,2155.87713938204,2144.62428490989,2858.6044281846,731.208639035917,2440.71064536599,2547.48707969484,6122.37454858798,1220.48689664886,707.853959275641
