"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AFUN000960",445.779373481957,0.283400225037618,0.372875280401245,0.760040259929956,0.447230520079124,0.892147504980343
"AFUN001028",12290.5186487305,0.240403434178839,0.319676580837323,0.75202078785113,0.452038557676425,0.892147504980343
"AFUN001097",52.0947998257456,-0.350490856740005,0.466845466882682,-0.750764185588812,0.452794586895101,0.892147504980343
"AFUN001151",828.868329495013,0.251333693889554,0.331234844159904,0.758777943567502,0.447985401910624,0.892147504980343
"AFUN001410",32.5313881011399,-0.459507726626957,0.608622206401879,-0.754996649470821,0.450250992583671,0.892147504980343
"AFUN001559",2569.05942060581,-0.279798669309129,0.36775128724782,-0.760836682321601,0.446754621391763,0.892147504980343
"AFUN001589",402.051164245271,0.26417460449176,0.348043312092843,0.759027958052789,0.447835832486687,0.892147504980343
"AFUN001668",324.652873155621,0.264507201778929,0.349965963438677,0.755808362561743,0.449764102155665,0.892147504980343
"AFUN001720",246.118894711945,-0.272936578936289,0.362307322230926,-0.753328906674223,0.451252292370492,0.892147504980343
"AFUN001794",159.417497195356,-0.304821600197534,0.404875722022819,-0.75287695363555,0.451523858290626,0.892147504980343
"AFUN001850",164.58982391612,-0.287405023431744,0.381537766301298,-0.75328066790846,0.451281273287024,0.892147504980343
"AFUN001873",112.515543730449,-0.310077730296386,0.410641930146382,-0.755104891957459,0.450186048167324,0.892147504980343
"AFUN001883",237.769083493752,0.295846918246681,0.389573139972458,0.759413029008099,0.447605521990334,0.892147504980343
"AFUN001902",83.0156212723908,0.357707154848493,0.474921776314995,0.753191731118351,0.451334707549253,0.892147504980343
"AFUN001918",241.063400617535,0.296734207540902,0.392080026575326,0.756820514762676,0.449157400539541,0.892147504980343
"AFUN001929",30.4851504496431,0.472625398470642,0.625855802052158,0.755166600550672,0.45014902600019,0.892147504980343
"AFUN002126",78.6124015587369,0.319863302016444,0.422042555071515,0.757893482950418,0.448514752045448,0.892147504980343
"AFUN002171",666.479673569385,0.27013986796468,0.357707533373289,0.75519759233802,0.450130433079633,0.892147504980343
"AFUN002188",1379.1314919726,0.241342657592212,0.318394501103058,0.75799882459055,0.448451686395595,0.892147504980343
