"","Siaya_resistant","Siaya_susceptible","komb_02_resistant","komb_06_susceptible"
"AFUN021729",146.876030672951,240.966559419858,84.386346325926,151.682429042507
"AFUN021730",119.299306546601,115.826921073796,284.345297402577,132.917592459929
"AFUN021731",444.225056035332,353.883256346072,642.070026392915,634.876971043897
"AFUN021732",17.9848200824021,20.3715690330798,14.6758863175523,9.38241829128912
"AFUN021734",99.5160044559584,115.826921073796,56.8690594805153,67.2406644209054
"AFUN021735",655.246945002184,707.184467862626,1119.03633171337,875.692373853651
"AFUN021736",60.5488942774205,105.932158972015,69.7104600083736,43.7846186926826
"AFUN021738",684.622151136774,619.295698605625,979.615411696619,847.545118979784
"AFUN021739",80.3321963680628,101.857845165399,73.3794315877617,93.8241829128912
"AFUN021740",214.618852983332,265.412442259554,381.573044256361,356.531895068987
"AFUN021741",61.747882282914,31.4304207938945,44.027658952657,39.093409547038
"AFUN021742",92.9215704257443,63.4428864173056,84.386346325926,79.7505554759576
"AFUN021743",249.988999145389,162.390507435122,243.986610029308,182.957156680138
"AFUN021744",332.119677521692,279.963562997468,266.000439505636,290.854967029963
"AFUN021745",8.39291603845432,20.3715690330798,23.8483152660226,14.0736274369337
"AFUN021746",243.394565115175,150.167566015274,154.0968063343,261.143975774214
"AFUN021747",176.850730810288,93.1271727226504,170.607178441546,136.045065223692
"AFUN021748",35.9696401648042,34.3406449414773,71.5449457980677,39.093409547038
"AFUN021749",36.569134167551,63.4428864173056,47.6966305320451,42.2208823108011
"AFUN021750",249.988999145389,341.660314926224,409.090331101772,323.693431049475
"AFUN021751",490.386094246831,378.329139185767,431.1041605781,322.129694667593
"AFUN021752",243.394565115175,305.573535496197,240.31763844992,251.761557482925
"AFUN021753",398.66351182658,359.703704641237,264.165953715942,284.600021502437
"AFUN021754",203.827960933891,219.430900727745,71.5449457980677,71.93187356655
"AFUN021755",166.059838760846,101.275800335882,229.310723711755,154.809901806271
"AFUN021756",28.1762181290967,18.0433897150135,25.6828010557166,1.56373638188152
"AFUN021757",181.047188829515,96.6194416997498,221.972780552979,125.098910550522
"AFUN021758",25.178748115363,21.5356586921129,9.17242894847022,10.9461546731706
