"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AFUN017878",52.6859998450146,6.2893327240837,1.20115489200729,5.23607135593762,1.64030558162683e-07,4.10564997069319e-05
"AFUN021447",81.2221160515634,4.9337640026372,0.941760395867999,5.23887394743316,1.6155933684227e-07,4.10564997069319e-05
"AFUN008288",101.428261328591,2.8127693934683,0.538872782008142,5.21972808310403,1.79186018038142e-07,4.3019271759198e-05
"AFUN017851",59.1829998847446,-4.31383433921541,0.826136222532535,-5.22169857894776,1.77289376294104e-07,4.3019271759198e-05
"AFUN004689",1953.24853289683,2.90345183025358,0.559858390032171,5.18604683246194,2.14804814032591e-07,5.0539276645588e-05
"AFUN019645",2141.11768597386,2.97261313566859,0.574151535904197,5.17740169585578,2.24997429149213e-07,5.18994069904185e-05
"AFUN021391",148.313831900069,2.86332141428822,0.556690413795963,5.1434717453886,2.69707233371353e-07,6.10160748727037e-05
"AFUN003741",207.206208486226,3.25013315449671,0.633483724701858,5.130570885663,2.88864751275653e-07,6.41170742265431e-05
"AFUN019978",157.443642198228,2.52171368847054,0.492564064399408,5.11956488653981,3.06241391788986e-07,6.67152543149192e-05
"AFUN009967",2060.53747940459,2.30415397160973,0.452647196919206,5.09039708473219,3.57314462461658e-07,7.64263152072535e-05
"AFUN021088",57.6168558704312,3.61987312316912,0.714560642549062,5.06587252028868,4.06533919165371e-07,8.54011611618111e-05
"AFUN006821",81.6155789273427,4.98775844689002,0.991244839362746,5.03181277604085,4.85863633683519e-07,0.00010027543485356
"AFUN015937",1493.83016188615,2.18583304150507,0.435420226751691,5.02005397822641,5.16569616714117e-07,0.000104774568465946
"AFUN015981",191.548925250042,2.32731792304954,0.465699250031461,4.99746976807954,5.80874417766406e-07,0.000115820451705153
"AFUN005002",77.1807493728561,3.7624732373122,0.761453783889815,4.94117084571037,7.76548251107699e-07,0.000149759239770999
"AFUN015954",43.7958489297493,9.04362155205352,1.82922846243949,4.94395409745198,7.65537360810068e-07,0.000149759239770999
"AFUN005447",27.1707630279136,8.36936604132985,1.69834973685153,4.92794025855083,8.31010164138226e-07,0.000157677476950356
"AFUN010382",55.7096459459598,4.34833956737784,0.883662287233749,4.92081605178609,8.61841040066292e-07,0.000160931714211744
"AFUN017522",4463.26249156723,4.79609558158712,0.98393054604088,4.8744249285537,1.09125872604431e-06,0.000199696184714238
"AFUN017641",64.3547700370173,-3.92623412198335,0.806336411079918,-4.86922588144691,1.12036281801596e-06,0.000199696184714238
"AFUN021546",283.695016958435,2.30611160133237,0.47334496647281,4.87194702526712,1.1050380195654e-06,0.000199696184714238
"AFUN004703",3338.09548200571,5.0127570554718,1.03095573489873,4.86224275765264,1.16063159462956e-06,0.000203786120585405
"AFUN000787",75.0505634336924,4.40632192390745,0.909936755977853,4.84244854926455,1.28248850020012e-06,0.00022187051053462
"AFUN004386",114.106249891692,3.02838283128982,0.627884357544332,4.82315380993704,1.41305919774991e-06,0.000240916353656956
"AFUN017537",1138.08788494561,3.18478433218437,0.666458171260227,4.77867099470348,1.76457659395441e-06,0.000296549700732567
"AFUN001442",215.100733272934,2.71352054329984,0.569978156586196,4.76074479687448,1.9287982227161e-06,0.000315144198500447
