"","komb_02_resistant","kombe_01_resistant","komb_04_susceptible","komb_06_susceptible","kombewa_05_susceptible","Kombewa_07_unexp","Siaya_unexposed"
"AFUN000817",1317.41456160411,1022.8075946282,810.692438954197,924.950960117426,695.538601781817,1092.66456672889,649.090538515863
"AFUN000818",452.068643449656,621.284365529577,386.044018549618,377.349498839115,441.536450277877,601.875542500293,404.081715526777
"AFUN000819",186.496965119495,140.596461924125,241.277511593511,255.377943658795,191.688539569562,175.102477953683,188.327677372208
"AFUN000820",116.374106234565,151.362857657053,120.638755796756,120.701018147192,159.641539146168,147.487750247726,168.215012798477
"AFUN000821",283.475386981633,213.427962470405,273.849975658635,240.131499261255,175.071576387061,237.863222739949,219.410886258883
"AFUN000822",957.848412853727,1450.29683696507,782.945525120943,797.897256804593,1233.21605332988,1892.86406275379,1961.89900796485
"AFUN000823",628.12177852246,513.620408200293,525.984975273854,531.084479847643,508.00430300788,728.024639520688,603.379937211929
"AFUN000824",89.5185432573577,165.929157766309,130.289856260496,95.2902774846249,185.753909861526,115.47977040673,223.067734363198
"AFUN000825",401.341468937154,637.750617826997,357.090717158396,426.90044313112,589.308730007973,868.608707841924,345.572145857741
"AFUN000826",249.159945399646,173.528966518965,156.830382535782,135.947462544732,125.814149810363,201.461990763914,122.504411494543
"AFUN000827",916.07309266696,1164.67069134444,744.341123265982,815.684775268389,1049.83599535156,1010.44799105889,919.697298235153
"AFUN000831",29.8395144191192,16.46625229742,19.3022009274809,16.5169814306683,16.0235002116971,28.2423351538198,60.3379937211929
"AFUN000833",8.95185432573577,17.0995696934746,7.23832534780533,7.62322219876999,1.1869259416072,9.41411171793993,82.2790823470812
"AFUN000834",46.2512473496348,53.1986612685877,25.3341387173187,40.6571850601066,26.1123707153583,25.1042979145065,522.929278917005
"AFUN000835",19.3956843724275,26.5993306342938,31.3660765071564,35.5750369275933,27.2992966569655,48.325773485425,32.9116329388325
"AFUN000837",13.4277814886037,24.69937844613,26.5405262752862,10.1642962650267,13.0561853576792,10.0417191658026,18.2842405215736
"AFUN000838",44.7592716286788,32.2991871987854,49.4618898766698,47.0098702257483,35.0143152774123,37.6564468717597,29.2547848345178
"AFUN000839",16.4117329305156,11.3997131289831,14.4766506956107,5.08214813251333,20.1777410073223,8.78650427007727,5.48527215647208
"AFUN000840",25.3635872562513,27.2326480303484,14.4766506956107,40.6571850601066,39.7620190438411,23.2214755709185,21.9410886258883
"AFUN000841",784.779229222836,611.151287192704,673.164257345896,755.969534711357,492.574265766986,598.109897813117,404.081715526777
"AFUN000842",1260.71948420779,1652.32508630649,1334.26463911212,1313.7352922547,1847.4502281116,1415.2547949303,1226.87253899759
"AFUN000843",138.753742048904,112.097179101667,88.0662917316315,110.536721882165,103.85601989063,97.9067618665753,69.4801139819797
"AFUN000856",423.721104751493,368.590724503786,380.01208075978,354.479832242805,306.82035590546,315.058938827056,548.527215647208
"AFUN000857",23.8716115352954,31.6658698027308,43.429952086832,40.6571850601066,55.1920562847346,73.4300713999314,95.0780507121828
"AFUN000858",619.169924196724,451.555303386941,418.616482614742,404.03077653481,330.558874737604,465.684726314095,310.832088866751
"AFUN000860",190.972892282363,234.960753936262,174.926195905296,147.382295842887,215.427058401706,197.696346076738,257.807791354188
"AFUN000861",237.224139631998,193.161805796658,331.756578441078,320.17533234834,243.913281000279,269.243595133082,239.523550832614
"AFUN000865",35.8074173029431,20.8994740698023,20.5085884854484,20.3285925300533,20.1777410073223,16.9454010922919,29.2547848345178
"AFUN000866",1729.19986058796,2138.71284647644,1944.6967434437,1905.8055496925,2440.9131989152,2447.04143921652,2084.40341945939
"AFUN000869",2.98395144191192,6.96649135660077,16.8894258115458,16.5169814306683,7.71501862044677,5.64846703076396,0
"AFUN000871",11.9358057676477,13.2996653171469,13.2702631376431,16.5169814306683,8.30848159125037,13.8073638529786,14.6273924172589
"AFUN000872",538.603235265102,397.090007326244,472.903922723282,440.876350495531,345.395449007694,453.132577356842,363.856386379315
"AFUN000873",110.406203350741,132.996653171469,67.5577032461831,78.7732960539566,131.748779518399,148.115357695588,122.504411494543
"AFUN000874",62.6629802801504,34.8324567830038,41.0171769708969,29.2223517619516,27.8927596277691,35.7736245281717,43.8821772517767
"AFUN000875",2005.21536896481,2887.29400861299,1894.02846600906,1955.3564939845,2655.7467943461,2435.11689770713,1645.58164694162
"AFUN000876",6260.33012513121,9310.3990393989,7181.62513258086,6967.62508967577,10524.472324231,7973.12501764726,6384.8567901335
"AFUN000877",32.8234658610312,62.6984222094069,41.0171769708969,67.3384627558016,86.0521307665217,50.8362032768756,71.3085380341371
"AFUN000878",13.4277814886037,17.0995696934746,15.6830382535782,13.9759073644117,24.9254447737511,26.3595128102318,10.9705443129442
"AFUN000879",563.966822521353,721.348514106206,591.129903404102,644.162275796064,866.455937373253,723.003779937786,559.497759960152
"AFUN000884",156.657450700376,108.297274725339,225.594473339933,195.662703101763,140.057261109649,117.362592750318,148.102348224746
"AFUN000885",604.250166987164,442.688859842176,601.98739142581,677.196238657401,457.559950489574,406.689626215005,268.778335667132
"AFUN000886",116.374106234565,79.1646745068269,94.0982295214693,91.4786663852399,68.8417046132173,68.4092118170301,31.0832088866751
