"","PortVict_resistant","PortVict_susceptible","PortVict_susceptible.1","PortVict_resistant.1"
"AFUN011003",69.4022093788567,71.0352025407122,71.0352025407122,69.4022093788567
"AFUN011004",398.45033149273,151.868364052557,151.868364052557,398.45033149273
"AFUN011005",1921.21645492294,1185.55303550706,1185.55303550706,1921.21645492294
"AFUN011006",6424.19509873935,8979.82939704313,8979.82939704313,6424.19509873935
"AFUN011007",1598.70030545649,854.871920231329,854.871920231329,1598.70030545649
"AFUN011008",143.70339824328,157.992088409515,157.992088409515,143.70339824328
"AFUN011009",320.883156304596,79.6084166404533,79.6084166404533,320.883156304596
"AFUN011010",1450.91442430857,1466.01961105573,1466.01961105573,1450.91442430857
"AFUN011011",319.250163142741,510.718611370293,510.718611370293,319.250163142741
"AFUN011012",966.731951818428,1305.57803290343,1305.57803290343,966.731951818428
"AFUN011014",401.716317816441,209.431373007962,209.431373007962,401.716317816441
"AFUN011015",498.879410946841,199.633414036829,199.633414036829,498.879410946841
"AFUN011016",834.459505708136,939.379316357349,939.379316357349,834.459505708136
"AFUN011017",4.89897948556636,37.9670910131393,37.9670910131393,4.89897948556636
"AFUN011018",158.400336699979,369.87295116026,369.87295116026,158.400336699979
"AFUN011019",929.98960567668,173.913771737606,173.913771737606,929.98960567668
"AFUN011020",178.812751223172,77.1589268976701,77.1589268976701,178.812751223172
"AFUN011021",277.608837515427,259.645912735017,259.645912735017,277.608837515427
"AFUN011022",24.4948974278318,14.6969384566991,14.6969384566991,24.4948974278318
"AFUN011024",1422.3370439761,1851.81424554408,1851.81424554408,1422.3370439761
"AFUN011025",1094.92191502408,935.705081743174,935.705081743174,1094.92191502408
"AFUN011026",231.068532402546,394.367848588092,394.367848588092,231.068532402546
"AFUN011027",166.565302509256,464.178306257412,464.178306257412,166.565302509256
"AFUN011028",322.516149466452,350.277033217995,350.277033217995,322.516149466452
"AFUN011030",564.199137421059,559.708406225956,559.708406225956,564.199137421059
"AFUN011032",71.8516991216399,105.328058939677,105.328058939677,71.8516991216399
"AFUN011034",2404.58243083215,1368.04002134441,1368.04002134441,2404.58243083215
"AFUN011037",178.812751223172,131.0477012389,131.0477012389,178.812751223172
"AFUN011040",17.96292478041,22.0454076850486,22.0454076850486,17.96292478041
"AFUN011041",517.658832308178,211.880862750745,211.880862750745,517.658832308178
"AFUN011042",987.960862922548,1684.02419816344,1684.02419816344,987.960862922548
"AFUN011043",49.8062914365913,23.2701525564402,23.2701525564402,49.8062914365913
"AFUN011044",1023.88671248337,740.970647191911,740.970647191911,1023.88671248337
"AFUN011046",1530.93108923949,805.882125375666,805.882125375666,1530.93108923949
"AFUN011051",261.278905896872,165.340557637865,165.340557637865,261.278905896872
"AFUN011053",88.9981273211221,574.405344682655,574.405344682655,88.9981273211221
"AFUN011054",44.0908153700972,41.641325627314,41.641325627314,44.0908153700972
"AFUN011055",125.74047346287,1401.10813287198,1401.10813287198,125.74047346287
"AFUN011058",71.0352025407122,1376.61323544415,1376.61323544415,71.0352025407122
"AFUN011059",411.514276787574,1167.18186243618,1167.18186243618,411.514276787574
"AFUN011063",526.640294698383,943.053550971524,943.053550971524,526.640294698383
"AFUN011064",5.71547606649408,47.765049984272,47.765049984272,5.71547606649408
"AFUN011065",11234.9929535655,51654.8396958117,51654.8396958117,11234.9929535655
"AFUN011070",75.9341820262785,111.451783296635,111.451783296635,75.9341820262785
"AFUN011071",148.602377728846,173.913771737606,173.913771737606,148.602377728846
"AFUN011072",2289.45641292134,1054.50533426816,1054.50533426816,2289.45641292134
"AFUN011073",111.860031587098,145.744639695599,145.744639695599,111.860031587098
"AFUN011074",66.1362230551458,91.8558653543692,91.8558653543692,66.1362230551458
"AFUN011075",936.521578324102,330.681115275729,330.681115275729,936.521578324102
"AFUN011076",271.076864868005,109.002293553851,109.002293553851,271.076864868005
"AFUN011078",535.621757088588,259.645912735017,259.645912735017,535.621757088588
"AFUN011079",229.435539240691,139.620915338641,139.620915338641,229.435539240691
"AFUN011081",130.639452948436,113.901273039418,113.901273039418,130.639452948436
"AFUN011082",23.6784008469041,52.6640294698383,52.6640294698383,23.6784008469041
"AFUN011085",9.79795897113271,93.0806102257608,93.0806102257608,9.79795897113271
"AFUN011091",44.0908153700972,52.6640294698383,52.6640294698383,44.0908153700972
"AFUN011097",363.340978512838,434.784429344014,434.784429344014,363.340978512838
