"","gene_id","kombewa_05_susceptible","komb_06_susceptible","komb_04_susceptible","PortVict_susceptible","teso_susceptible","kombe_01_resistant","komb_02_resistant","Siaya_resistant","PortVict_resistant","Teso_resistant"
"3408","AFUN005068",791,302,335,661,308,866,298,1268,779,979
"3409","AFUN005069",32,7,7,7,14,19,3,37,20,17
"3410","AFUN005071",1545,520,557,1039,460,2472,731,3785,1523,2342
"3411","AFUN005076",88,44,57,45,50,101,57,102,100,134
"3412","AFUN005078",75,47,36,103,31,133,39,144,180,186
"3413","AFUN005081",2208,824,802,2016,1019,2838,872,3744,4691,7620
"3414","AFUN005082",3055,1941,2166,1926,2219,2981,1856,3776,2481,3903
"3415","AFUN005083",522,218,235,299,301,572,169,833,523,677
"3416","AFUN005084",331,122,170,333,344,253,67,320,276,524
"3417","AFUN005085",289,165,188,167,193,348,158,394,277,400
"3418","AFUN005090",20,20,12,6,27,29,11,23,18,27
"3419","AFUN005092",22,17,9,6,3,17,13,12,19,24
"3420","AFUN005093",24,11,16,6,5,11,6,5,13,27
"3421","AFUN005094",2549,1582,1483,4285,2247,1935,1160,3189,980,1568
"3422","AFUN005096",1744,655,689,776,540,1629,491,2048,1702,2635
"3423","AFUN005098",1270,398,426,833,1447,1164,337,1251,312,409
"3424","AFUN005099",84,34,36,24,56,106,19,70,81,160
"3425","AFUN005100",1507,503,497,814,501,1301,397,1762,1011,1257
"3426","AFUN005101",75,42,39,59,88,66,45,60,85,198
"3427","AFUN005102",35,10,14,35,39,58,15,46,88,121
"3428","AFUN005103",34,13,7,73,60,47,20,7,9,2
"3429","AFUN005104",797,585,620,2064,867,1277,640,97,60,4
"3430","AFUN005105",90,48,47,79,185,72,30,57,40,38
"3431","AFUN005107",347,237,284,258,565,483,216,576,319,345
"3432","AFUN005111",224,54,78,126,125,164,55,191,195,210
"3433","AFUN005112",377,220,242,407,625,198,132,207,165,228
"3434","AFUN005113",433,152,150,505,157,309,105,626,377,466
"3435","AFUN005114",326,179,213,217,482,253,155,296,147,232
"3436","AFUN005116",94,71,84,57,83,125,54,131,102,199
"3437","AFUN005118",7482,11586,11937,3284,12956,4500,6480,7484,4682,7089
"3438","AFUN005120",3,4,1,11,19,16,5,10,6,6
"3439","AFUN005121",179,58,62,98,78,140,27,159,262,205
"3440","AFUN005122",77,51,69,43,52,100,52,120,123,161
"3441","AFUN005123",83,26,40,46,35,92,33,146,123,202
"3442","AFUN005124",22117,8094,8678,10724,6539,18694,6333,22624,18320,26442
"3443","AFUN005125",103,36,38,54,34,110,52,164,149,191
"3444","AFUN005126",263,85,108,87,56,311,96,339,349,501
"3445","AFUN005127",107,65,59,64,96,110,56,135,137,164
"3446","AFUN005128",1306,437,457,1205,235,1336,468,2003,668,812
"3447","AFUN005129",72,51,50,39,27,117,63,148,84,133
"3448","AFUN005130",10570,3017,3179,9009,4624,8929,2244,14118,9820,13640
"3449","AFUN005134",61,22,46,35,96,75,27,81,54,64
"3450","AFUN005135",293,79,93,217,147,266,54,253,333,319
"3451","AFUN005139",883,609,575,303,666,943,527,896,873,1240
"3452","AFUN005140",206,49,64,225,67,168,55,229,187,231
"3453","AFUN005141",95,45,54,37,73,96,46,86,122,106
"3454","AFUN005142",3029,1122,1154,941,958,3021,996,2962,2679,4452
"3455","AFUN005143",218,127,144,188,148,318,120,378,330,357
"3456","AFUN005144",6587,2254,2382,23240,3964,5590,1811,12381,2547,2919
"3457","AFUN005145",26,4,5,16,62,7,6,16,0,4
"3458","AFUN005146",273,171,221,204,187,317,153,425,325,433
"3459","AFUN005147",468,144,175,148,205,594,209,684,550,1288
"3460","AFUN005148",336,183,231,166,216,406,237,663,412,461
"3461","AFUN005149",1587,598,619,677,520,1603,552,2022,1195,2160
"3462","AFUN005150",137,80,76,46,79,97,74,156,146,236
"3463","AFUN005151",5268,1814,1981,719,1084,5688,1928,4614,5719,8158
"3464","AFUN005152",111,54,70,329,80,200,116,585,40,35
"3465","AFUN005154",40,14,12,33,91,36,13,39,3,2
"3466","AFUN005155",465,270,287,424,375,416,218,855,77,88
"3467","AFUN005157",3,0,5,0,2,4,0,4,0,14
"3468","AFUN005158",0,0,2,0,0,2,0,0,0,1
"3469","AFUN005159",38,23,28,17,28,31,7,55,44,102
"3470","AFUN005160",82,48,41,52,25,75,34,102,87,168
"3471","AFUN005161",414,162,164,218,91,536,166,730,579,932
"3472","AFUN005162",213,126,164,64,84,282,133,301,294,462
"3473","AFUN005164",98,25,29,49,48,113,49,172,109,171
"3474","AFUN005165",2652,1466,1548,949,1100,2655,1468,2796,1469,2814
"3475","AFUN005166",93,47,75,108,22,93,45,149,74,86
"3476","AFUN005168",83,34,41,51,32,67,30,87,116,85
"3477","AFUN005169",1255,391,423,813,398,931,303,1541,1234,1298
"3478","AFUN005170",569,357,472,171,367,580,390,788,544,1160
"3479","AFUN005171",342,114,144,177,116,337,124,420,555,566
"3480","AFUN005173",368,216,216,217,263,398,239,422,324,480
"3481","AFUN005174",46,25,20,31,33,44,10,94,67,102
"3482","AFUN005175",71,33,29,112,38,85,56,176,107,90
"3483","AFUN005176",4042,1278,1478,1301,1960,2813,874,2751,1912,2995
"3484","AFUN005177",4906,1627,1745,2189,1657,3303,1099,3523,2929,5185
"3485","AFUN005181",5056,1945,1893,1604,2137,2735,1001,3010,3135,5467
"3486","AFUN005182",699,441,428,378,403,796,457,1159,1079,1842
"3487","AFUN005183",484,171,202,323,181,510,167,801,651,769
"3488","AFUN005184",67,48,41,51,51,72,40,88,96,119
"3489","AFUN005188",0,0,1,0,0,0,2,4,0,0
"3490","AFUN005189",12,9,7,10,41,10,13,11,16,29
"3491","AFUN005190",1213,809,870,487,921,1173,721,1281,1096,1652
"3492","AFUN005191",140,86,84,84,88,140,60,129,12,42
"3493","AFUN005192",8650,2913,3061,6222,1505,4978,1596,7437,2020,2563
"3494","AFUN005193",461,141,162,195,337,459,159,423,413,735
"3495","AFUN005194",1974,727,746,1631,855,824,278,1213,458,556
"3496","AFUN005196",644,450,437,437,603,185,140,373,143,128
"3497","AFUN005197",2983,2023,2196,2180,2729,2180,1295,2726,886,705
"3498","AFUN005198",16,18,10,29,155,10,15,7,7,3
"3499","AFUN005201",194,72,68,176,80,182,68,191,238,196
"3500","AFUN005202",2316,1148,1313,960,885,1724,878,2357,1623,2310
"3501","AFUN005204",1,0,1,13,3,4,2,0,0,6
"3502","AFUN005205",150,65,42,301,141,268,98,265,33,90
"3503","AFUN005208",681,284,287,792,418,788,288,1638,785,2970
"3504","AFUN005209",279,115,93,286,185,314,109,752,623,775
"3505","AFUN005214",767,453,450,363,531,774,425,800,523,673
"3506","AFUN005215",37,33,28,11,9,16,6,22,31,87
"3507","AFUN005216",797,431,501,401,517,583,364,937,619,900
"3508","AFUN005217",298,167,242,194,518,135,78,168,105,72
"3509","AFUN005218",300,103,110,280,291,175,46,168,143,136
"3510","AFUN005219",247,173,188,69,199,245,164,223,301,364
"3511","AFUN005220",21,21,16,7,36,20,12,21,26,26
"3512","AFUN005222",4,3,10,7,15,2,2,12,2,16
"3513","AFUN005223",334,200,206,280,529,237,148,434,293,392
"3514","AFUN005224",773,444,493,192,320,762,415,1110,558,843
"3515","AFUN005225",74,56,54,21,102,84,47,79,65,139
"3516","AFUN005229",14,6,7,0,4,8,1,10,6,14
"3517","AFUN005231",13,2,11,18,6,15,1,21,6,17
"3518","AFUN005232",3143,1062,1119,802,1336,2239,641,2347,2075,4335
"3519","AFUN005235",2,0,0,5,0,7,0,0,7,5
"3520","AFUN005237",340,122,172,307,158,183,83,253,66,74
"3521","AFUN005238",403,265,272,201,259,201,131,317,113,158
"3522","AFUN005240",3691,1365,1464,1159,927,4188,1369,4495,3761,5121
"3523","AFUN005241",374,200,274,162,245,446,232,583,424,588
"3524","AFUN005242",82769,31044,32176,40833,28867,73823,24457,92760,54645,84412
"3525","AFUN005243",96,51,63,34,52,138,77,151,136,281
"3526","AFUN005244",989,675,661,1278,930,1412,822,2442,1702,1712
"3527","AFUN005246",641,199,225,340,168,572,241,771,717,918
"3528","AFUN005247",1187,352,427,542,622,903,285,1007,649,1061
"3529","AFUN005248",18728,11475,12495,8287,8175,12165,6767,14722,9578,11604
"3530","AFUN005249",75,14,36,35,90,56,16,49,35,57
"3531","AFUN005250",480,157,179,450,198,268,97,495,454,307
"3532","AFUN005255",37,42,29,32,56,70,25,84,111,136
"3533","AFUN005256",130,80,71,101,253,174,85,177,144,249
"3534","AFUN005257",1813,580,657,830,1153,1306,450,2046,72,56
"3535","AFUN005258",4910,1528,1594,2092,1562,3886,1084,5267,4283,6548
"3536","AFUN005259",2608,1709,1792,2491,3055,2214,1262,2299,796,780
"3537","AFUN005260",1179,707,765,670,1010,755,480,1108,556,735
"3538","AFUN005266",44,30,29,22,30,43,34,34,42,58
"3539","AFUN005267",41,34,31,74,101,76,50,81,83,89
"3540","AFUN005274",12,6,7,18,13,16,2,46,47,46
"3541","AFUN005275",1137,799,745,1052,937,1153,618,1670,905,1252
"3542","AFUN005276",995,357,375,405,501,890,299,997,894,1357
"3543","AFUN005277",287,171,200,146,213,324,204,402,312,631
"3544","AFUN005279",2298,1496,1462,7089,1915,1936,1047,3351,1029,984
"3545","AFUN005280",637,240,231,558,244,514,166,914,522,538
"3546","AFUN005281",128,17,14,102,33,112,10,177,119,66
"3547","AFUN005282",200,36,43,120,58,127,38,173,143,94
"3548","AFUN005285",1237,479,457,1051,564,1609,466,2441,1349,2114
"3549","AFUN005286",1206,699,864,1026,1175,1900,1055,1984,681,1021
"3550","AFUN005287",361,197,227,186,164,371,203,484,393,520
"3551","AFUN005288",887,259,270,622,448,562,204,715,487,642
"3552","AFUN005289",30,17,20,33,9,18,13,60,31,51
"3553","AFUN005290",2,0,4,4,33,2,0,10,4,4
"3554","AFUN005292",95,59,62,77,98,112,72,172,121,163
"3555","AFUN005293",89,56,58,63,78,119,64,121,173,139
"3556","AFUN005294",893,369,401,315,288,1075,363,1223,1104,1708
"3557","AFUN005295",5358,3077,3278,5926,3332,5165,2581,7273,4679,4865
"3558","AFUN005296",770,486,573,191,494,984,609,913,789,1163
"3559","AFUN005297",4400,1457,1441,2998,1334,3836,1104,3831,2415,2509
"3560","AFUN005298",15163,5353,5692,6358,6497,11338,3629,12360,7962,13139
"3561","AFUN005299",186,98,74,71,116,173,89,184,166,251
"3562","AFUN005300",23,7,9,24,39,10,3,6,15,14
"3563","AFUN005301",192,82,91,162,272,128,54,106,68,98
"3564","AFUN005302",3311,1125,1172,1691,1292,2085,659,2738,1849,2553
"3565","AFUN005303",1588,1035,1058,1075,417,864,456,1364,1009,433
"3566","AFUN005304",274,79,80,320,102,189,67,413,188,252
"3567","AFUN005307",6,3,1,10,0,10,0,1,1,1
"3568","AFUN005308",0,3,2,0,2,1,1,1,0,1
"3569","AFUN005309",1084,324,336,821,311,1006,260,1446,1360,2201
"3570","AFUN005310",1,3,2,8,4,9,4,1,10,0
"3571","AFUN005312",1943,625,668,1382,800,2535,818,4881,2867,4756
"3572","AFUN005313",1219,427,470,778,383,1022,304,1282,893,1259
"3573","AFUN005315",257,132,125,1575,839,155,100,388,68,45
"3574","AFUN005319",329,252,273,447,386,317,128,412,216,355
"3575","AFUN005322",62,35,38,40,104,59,32,64,81,77
"3576","AFUN005323",69,74,56,64,136,38,23,80,41,64
"3577","AFUN005324",90,41,56,57,55,90,54,101,96,145
"3578","AFUN005328",6357,3626,3624,14388,6121,4562,2644,8501,1944,2409
"3579","AFUN005330",1454,544,600,356,408,1831,655,2017,1459,2649
"3580","AFUN005331",4,2,1,0,0,2,1,3,2,11
"3581","AFUN005333",99,66,49,61,58,121,54,122,127,137
"3582","AFUN005338",1001,309,294,774,134,427,128,919,217,79
"3583","AFUN005339",80,11,20,12,13,14,5,123,0,9
"3584","AFUN005342",19,12,14,29,12,17,8,15,29,37
"3585","AFUN005343",32,8,23,3,34,17,9,19,24,20
"3586","AFUN005344",1,1,1,0,0,0,0,1,0,12
"3587","AFUN005345",515,180,163,136,93,530,162,500,410,767
"3588","AFUN005346",8,10,1,27,39,25,9,16,42,45
"3589","AFUN005347",640,312,355,644,530,712,337,689,609,708
"3590","AFUN005348",364,249,237,232,294,174,98,283,222,181
"3591","AFUN005349",13,2,3,14,37,13,10,26,13,9
"3592","AFUN005350",1358,849,853,331,766,1238,659,1409,1043,2025
"3593","AFUN005356",0,1,0,0,1,4,1,8,0,4
"3594","AFUN005357",286,153,174,103,130,311,108,295,301,569
"3595","AFUN005358",11,6,5,4,8,18,4,17,15,22
"3596","AFUN005359",44,8,32,36,14,51,10,33,72,51
"3597","AFUN005360",81,50,44,25,23,98,37,99,83,83
"3598","AFUN005361",19,16,17,27,27,32,14,52,12,24
"3599","AFUN005362",5,2,5,6,4,2,3,6,2,18
"3600","AFUN005363",1019,500,533,1500,654,850,393,1574,546,519
"3601","AFUN005365",448,167,171,582,282,673,238,928,561,715
"3602","AFUN005366",7406,4411,4875,2176,4299,7252,4023,6379,5365,9703
"3603","AFUN005369",1200,464,513,281,287,1249,394,1404,1340,2039
"3604","AFUN005370",184,119,135,96,153,199,109,273,203,359
"3605","AFUN005371",14,6,8,8,12,57,8,23,61,85
"3606","AFUN005373",132,67,56,57,107,156,50,101,165,292
"3607","AFUN005374",922,573,676,1383,1308,1485,702,1743,94,137
"3608","AFUN005375",849,317,368,486,406,570,242,568,282,280
"3609","AFUN005376",544,171,169,327,203,607,179,749,440,700
"3610","AFUN005377",342,230,225,148,179,408,279,466,302,593
"3611","AFUN005378",89,21,25,63,48,93,25,66,44,85
"3612","AFUN005380",15,16,7,8,11,4,2,5,4,10
"3613","AFUN005382",0,0,0,0,0,1,0,0,0,0
"3614","AFUN005385",0,1,2,0,0,3,0,1,0,7
"3615","AFUN005391",19,12,17,7,13,20,14,27,53,57
"3616","AFUN005393",9,8,10,17,6,12,7,26,37,23
"3617","AFUN005395",3,0,2,5,7,0,0,0,0,2
"3618","AFUN005396",16,6,8,26,26,19,5,15,16,43
"3619","AFUN005397",4088,2440,2533,3167,8349,3303,1929,4962,3219,4488
"3620","AFUN005398",14,10,7,4,20,8,3,20,5,4
"3621","AFUN005400",22,8,8,5,5,7,8,21,5,27
"3622","AFUN005402",1179,428,463,896,653,1981,580,2988,1077,1786
"3623","AFUN005403",1100,719,769,404,685,888,541,1021,595,1064
"3624","AFUN005405",87,43,52,57,58,108,68,126,150,146
"3625","AFUN005408",6,12,13,11,17,12,10,92,61,60
"3626","AFUN005409",21,8,4,12,0,9,15,27,0,1
"3627","AFUN005410",0,0,2,0,6,3,0,1,0,1
"3628","AFUN005411",191,64,67,165,117,127,50,257,117,154
"3629","AFUN005412",63,34,32,44,45,50,40,122,80,104
"3630","AFUN005413",2442,870,862,2665,1495,1974,595,3213,1573,1935
"3631","AFUN005414",584,289,294,2031,597,459,247,1055,318,283
"3632","AFUN005415",249,133,144,388,187,210,124,375,260,195
"3633","AFUN005416",428,185,225,216,189,655,222,892,715,1007
"3634","AFUN005418",4639,1731,1792,1478,1396,4662,1449,4674,4640,6660
"3635","AFUN005420",1079,663,686,343,552,1219,663,1364,1132,2134
"3636","AFUN005421",128,84,110,178,135,262,108,578,159,216
