"","PortVict_resistant","PortVict_susceptible","Siaya_susceptible","Siaya_resistant"
"AFUN007536",180.83167590519,98.3821784029464,149.445056284359,145.095806376659
"AFUN007537",341.230394080981,263.36152372481,452.186845561437,378.510799243458
"AFUN007541",197.17804208871,230.062940265352,198.746518151364,222.375094555531
"AFUN007542",41.8875633452701,89.3007465503668,58.5454859670685,29.9654382734404
"AFUN007544",225.784182909871,428.340869046674,267.306363560168,201.083862098087
"AFUN007549",8930.22417563429,5683.46276773944,3780.80585692595,5940.25385562701
"AFUN007551",51.0823943235001,346.607982373457,200.287188834708,56.7766198865187
"AFUN007553",64.3638168476102,69.6243108697775,26.9617369585184,42.582464914889
"AFUN007554",258.476915276911,352.662270275177,244.19630331001,343.813975979474
"AFUN007555",237.022309661041,228.549368289922,211.071883618116,254.706225324243
"AFUN007556",937.872759779462,1562.0062786437,637.837662904378,1018.03633713188
"AFUN007557",486.304393959721,198.277928781323,396.722700961057,395.070646710359
"AFUN007559",2074.96685742058,803.706718953301,1275.67532580876,1582.64827933671
"AFUN007560",210.459464612821,307.255111012279,234.952279209946,334.351205998388
"AFUN007561",339.187098308041,307.255111012279,209.531212934772,332.774077668207
"AFUN007562",185.93991533754,171.033633223584,184.110146659597,129.324523074848
"AFUN007563",181.85332379166,715.919544378364,560.033793395511,474.715627384503
"AFUN007564",3.06494365941001,0,10.7846947834074,3.94282082545268
"AFUN007565",492.434281278541,104.436466304666,235.722614551618,252.340532828972
"AFUN007566",2477.49612468976,237.630800142501,2056.02502692245,1581.07115100653
"AFUN007567",39.8442675723301,108.977182230956,281.172399710263,48.8909782356133
"AFUN007568",18.38966195646,10.5950038280096,23.8803955918306,7.88564165090537
"AFUN007569",595.620717812012,307.255111012279,573.129494203934,538.589324756837
"AFUN007570",1981.9968997518,1552.92484679112,1598.44583396931,2143.31740071608
"AFUN007571",203.307929407531,635.700229680577,556.952452028823,354.853874290742
"AFUN007572",2526.53522324032,1642.22559334149,2273.25959327394,2432.72044930431
"AFUN007573",1394.54936503155,746.190983886963,1197.87145629989,1262.49122830995
"AFUN007574",331.013915216281,840.032446363619,1083.09149039077,305.174331890038
"AFUN007575",293.212943416891,134.707905813265,462.201205003173,287.825920258046
"AFUN007577",322.840732124521,184.655781002453,409.048066427808,282.305971102412
"AFUN007582",48.0174506640901,87.7871745749368,49.3014618670051,58.3537482166997
"AFUN007583",921.526393595942,1174.53185293364,801.148755338833,859.534939948685
"AFUN007584",788.712168354842,388.987997685496,815.014791488928,944.699869778463
"AFUN007585",370.858182788611,361.743702127757,301.971453935406,351.699617630379
"AFUN007587",16.34636618352,13.6221477788695,17.717712858455,3.15425666036215
"AFUN007588",246.217140639271,199.791500756753,153.296732992719,218.432273730079
"AFUN007589",194.1130984293,283.0379594054,177.947463926221,182.946886301005
"AFUN007590",838.772914791872,1265.34617145943,972.933536531678,862.689196609047
"AFUN007591",202.286281521061,107.463610255526,148.674720942687,168.752731329375
"AFUN007592",1493.64921001914,959.604632422585,1482.12519737684,1227.00584088088
"AFUN007593",155.29047874344,166.492917297294,118.631642617481,244.454891178066
"AFUN007594",29.6277887076301,22.7035796314492,23.1100602501586,40.2167724196174
"AFUN007595",430.113760203871,263.36152372481,559.263458053839,326.465564347482
"AFUN007596",95.0132534417102,112.004326181816,130.18667274256,197.929605437725
"AFUN007597",184.91826745107,461.639452506133,292.727429835343,612.714356275347
"AFUN007598",517.975478440291,272.44295557739,395.182030277713,660.81677034587
"AFUN007599",1170.80847789462,708.351684501214,1026.08667510704,988.859463023533
"AFUN007600",551.689858693801,270.92938360196,393.641359594369,577.228968846273
"AFUN007603",3.06494365941001,10.5950038280096,34.665090375238,1.57712833018107
"AFUN007604",183.8966195646,507.046611769032,163.311092434454,254.706225324243
"AFUN007606",286.061408211601,304.227967061419,182.569475976253,240.512070352614
"AFUN007607",408.659154588001,493.424463990162,543.8567512204,478.658448209956
"AFUN007615",1.02164788647,3.02714395085989,16.947377516783,3.15425666036215
"AFUN007616",37.8009717993901,19.6764356805893,63.9378333587722,29.9654382734404
"AFUN007617",862.270816180682,1578.65557037343,1085.40249641578,637.159845393154
"AFUN007620",91.9483097823002,52.9750191400481,47.7607911836612,59.9308765468808
"AFUN007621",55.1689858693801,49.9478751891882,37.7464317419258,50.4681065657944
"AFUN007622",211.481112499291,105.950038280096,109.387618517418,130.901651405029
"AFUN007623",1202.47956237519,1625.57630161176,1637.73293639458,1491.9634003513
"AFUN007624",240.087253320451,541.85876720392,255.751333435089,233.414992866799
"AFUN007625",1452.78329456034,4036.69645847166,1653.90997856969,2117.29478326809
"AFUN007631",147.11729565168,139.248621739555,173.32545187619,141.941549716297
"AFUN007632",4214.29753168876,4298.54441022104,6976.92718952289,4789.73873875992
"AFUN007633",620.140267087292,549.42662708107,868.938265405965,486.544089860861
"AFUN007634",1711.26020983725,1613.46772580832,1586.12046850255,1760.86378064717
"AFUN007636",2140.35232215466,1085.23110638327,2789.38427219415,2129.12324574445
"AFUN007638",437.265295409161,242.171516068791,298.119777227046,308.3285885504
"AFUN007640",2349.79013888101,2232.51866375917,1957.42210318844,1970.62184856125
"AFUN007641",408.659154588001,511.587327695321,452.186845561437,471.561370724141
"AFUN007642",42.9092112317401,52.9750191400481,55.4641446003807,50.4681065657944
"AFUN007643",1873.70222378598,817.32886673217,1539.90034800224,1828.68029884496
"AFUN007644",151.20388719756,314.822970889429,199.516853493036,147.46149887193
"AFUN007647",263.585154709261,202.818644707613,280.402064368591,239.723506187523
"AFUN007648",400.485971496241,1005.01179168548,824.258815588991,1032.23049210351
"AFUN007649",138.94411255992,65.0835949434876,119.401977959153,85.164929829778
"AFUN007650",194.1130984293,116.545042108106,91.6699056589626,167.964167164284
"AFUN007652",1100.31477372819,1088.25825033413,1395.84763910958,1174.17204181981
"AFUN007653",110.33797173876,475.261600285003,501.488307428442,192.409656282091
"AFUN007657",123.61939426287,110.490754206386,50.842132550349,83.5878014995969
"AFUN007661",347.360281399801,1206.31686441767,864.316253355933,294.13443357877
"AFUN007662",2487.71260355446,1822.34065841765,2871.81015375305,2183.5341731357
"AFUN007663",3072.0951946153,2541.28734674688,2210.09209525684,2170.12858232916
"AFUN007664",1013.47470337824,1678.55132075181,1087.7135024408,897.386019873031
"AFUN007665",6686.68541694617,3676.46632831934,5078.8209076432,4988.45690836274
"AFUN007666",763.170971193092,661.430953262886,710.249185021542,775.947138449088
"AFUN007672",485.282746073251,744.677411911533,564.655805445543,1782.9435772697
"AFUN007677",650.789703681392,388.987997685496,458.349528294813,492.852603181586
"AFUN007678",292.191295530421,679.593816968045,484.540929911659,410.053365847079
"AFUN007681",83.7751266905402,77.1921707469272,46.9904558419892,45.7367215752511
"AFUN007686",534.321844623811,295.146535208839,473.756235128252,480.235576540137
"AFUN007689",452.590013706211,454.071592628983,449.105504194749,400.590595865993
"AFUN007690",9.19483097823002,10.5950038280096,14.6363714917671,2.36569249527161
"AFUN007692",31.6710844805701,39.3528713611786,46.2201205003173,30.7540024385309
"AFUN007693",7210.79078270528,8229.29083041261,8935.119628053,10042.364642428
