"","Teso_resistant","Teso_resistant.1","teso1_susceptible","siaya_unexposed"
"AFUN000395",1497.29122464027,1497.29122464027,758.844065195103,1424.00646999735
"AFUN000397",96.636991948011,96.636991948011,291.169369667391,180.253983543969
"AFUN000398",287.582373628418,287.582373628418,4376.5590653103,554.280999397704
"AFUN000399",24.4503232639546,24.4503232639546,41.2275213688341,15.7722235600973
"AFUN000400",567.014639502185,567.014639502185,283.439209410734,599.344495283696
"AFUN000401",68.6937653606344,68.6937653606344,19.325400641641,103.646040537782
"AFUN000402",60.5436576059828,60.5436576059828,34.7857211549538,24.7849227372957
"AFUN000403",370.829902836645,370.829902836645,595.222339762542,394.305589002432
"AFUN000404",546.057219561653,546.057219561653,235.76988782802,419.090511739728
"AFUN000406",1155.56884949881,1155.56884949881,2087.14326929723,1056.73897852652
"AFUN000407",11.0608605241699,11.0608605241699,9.01852029943246,22.5317479429961
"AFUN000408",27.9432265873767,27.9432265873767,15.4603205133128,36.0507967087938
"AFUN000411",288.164524182322,288.164524182322,200.984166673066,225.317479429961
"AFUN000413",53.5578509591387,53.5578509591387,48.9576816254905,135.190487657977
"AFUN000414",650.844319264315,650.844319264315,425.158814116102,358.254792293638
"AFUN000415",143.209036260306,143.209036260306,34.7857211549538,101.392865743482
"AFUN000416",429.044958227013,429.044958227013,358.164091891746,538.508775837607
"AFUN000417",1074.6499225062,1074.6499225062,427.735534201654,1049.97945414362
"AFUN000418",943.666047877867,943.666047877867,811.666826948921,743.547682118872
"AFUN000419",18.0466671710141,18.0466671710141,155.891565175904,4.50634958859922
"AFUN000420",4527.96700826283,4527.96700826283,1877.14058232473,3548.75030102189
"AFUN000421",37.2576354498356,37.2576354498356,10.3068803422085,31.5444471201945
"AFUN000423",281.760868089382,281.760868089382,177.793685903097,342.482568733541
"AFUN000424",126.326670197099,126.326670197099,78.58996260934,110.405564920681
"AFUN000425",320.764955200928,320.764955200928,421.293733987774,207.292081075564
"AFUN000426",2416.50694925418,2416.50694925418,687.984262842419,2969.68437888689
"AFUN000427",13.9716132936883,13.9716132936883,32.2090010694016,54.0761950631907
"AFUN000428",210.156349959229,210.156349959229,343.99213142121,297.419072847549
"AFUN000429",502.395928018877,502.395928018877,286.015929496287,421.343686534027
"AFUN000430",147.284090137631,147.284090137631,119.817483978174,196.026207104066
"AFUN000433",56.4686037286571,56.4686037286571,29.6322809838495,69.8484186232879
